Sample	R1	R2	Community	Qubit_ug_ml	Com_Id	Media	Temp	Evo_status	Stress	Diversity	group	genotype
M4.38.C19	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C19/M4.38.C19_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C19/M4.38.C19_R2.fastq.gz	192	21.2	Com19	M4	38	Non_evo	pHSalTemp	Eight	Eight	Non_evo
M4.38.C2	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C2/M4.38.C2_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C2/M4.38.C2_R2.fastq.gz	60	32.4	Com2	M4	38	NA	pHSalTemp	Two	Two	NA
M4.38.C20	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C20/M4.38.C20_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C20/M4.38.C20_R2.fastq.gz	195	22.4	Com20	M4	38	Non_evo	pHSalTemp	Eight	Eight	Non_evo
M4.38.C21	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C21/M4.38.C21_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C21/M4.38.C21_R2.fastq.gz	207	2.4	Com21	M4	38	Non_evo	pHSalTemp	Eight	Eight	Non_evo
M4.38.C22	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C22/M4.38.C22_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C22/M4.38.C22_R2.fastq.gz	210	2.66	Com22	M4	38	Non_evo	pHSalTemp	Eight	Eight	Non_evo
M4.38.C4	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C4/M4.38.C4_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C4/M4.38.C4_R2.fastq.gz	69	<0.5	Com4	M4	38	NA	pHSalTemp	Two	Two	NA
M4.38.C5	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C5/M4.38.C5_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C5/M4.38.C5_R2.fastq.gz	73	5.96	Com5	M4	38	NA	pHSalTemp	Two	Two	NA
M4.38.C6	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C6/M4.38.C6_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C6/M4.38.C6_R2.fastq.gz	77	0.246	Com6	M4	38	NA	pHSalTemp	Two	Two	NA
M4.38.C7	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C7/M4.38.C7_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C7/M4.38.C7_R2.fastq.gz	82	3.54	Com7	M4	38	NA	pHSalTemp	Four	Four	NA
M4.38.C8	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C8/M4.38.C8_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C8/M4.38.C8_R2.fastq.gz	86	25.8	Com8	M4	38	NA	pHSalTemp	Four	Four	NA
